DATE,STA1,STA2,STA3,STA4,STA5,STA6,STA7,STA8,STA9,STA10,STA11,STA12,STA13,STA14,STA15,STA16,STA17,STA19,STA20,STA21,STAHQ
081202,-99,10,-99,-99,-99,-99,-99,-99,21,-99,-99,-99,-99,-99,-99,-99,14,24,-99,-99,0,,,
101229,-99,20,-99,-99,-99,-99,-99,-99,17,-99,-99,-99,-99,-99,-99,-99,9,15,-99,-99,5,,,
110104,-99,0,-99,-99,-99,-99,-99,-99,0,-99,-99,-99,-99,-99,-99,-99,0,0,-99,-99,0,,,
110110,-99,0,-99,-99,-99,-99,-99,-99,0,-99,-99,-99,-99,-99,-99,-99,0,0,-99,-99,0,,,
110120,-99,22,-99,-99,-99,-99,-99,-99,33,-99,-99,-99,-99,-99,-99,-99,13,13,-99,-99,24,,,
110125,-99,26,-99,-99,-99,-99,-99,-99,36,-99,-99,-99,-99,-99,-99,-99,18,22,-99,-99,26,,,
110131,-99,31,-99,-99,-99,-99,-99,-99,39,-99,-99,-99,-99,-99,-99,-99,24,26,-99,-99,22,,,
110207,-99,46,-99,-99,-99,-99,-99,-99,54,-99,-99,-99,-99,-99,-99,-99,46,40,-99,-99,47,,,
110214,-99,49,-99,-99,-99,-99,-99,-99,65,-99,-99,-99,-99,-99,-99,-99,41,52,-99,-99,43,,,
110222,-99,44,-99,-99,-99,-99,-99,-99,75,-99,-99,-99,-99,-99,-99,-99,45,56,-99,-99,46,,,
110301,-99,60,-99,-99,-99,-99,-99,-99,97,-99,-99,-99,-99,-99,-99,-99,96,87,-99,-99,66,,,
110308,-99,46,-99,-99,-99,-99,-99,-99,84,-99,-99,-99,-99,-99,-99,-99,44,63,-99,-99,51,,,
110314,-99,65,-99,-99,-99,-99,-99,-99,87,-99,-99,-99,-99,-99,-99,-99,90,56,-99,-99,37,,,
110321,-99,48,-99,-99,-99,-99,-99,-99,68,-99,-99,-99,-99,-99,-99,-99,110,70,-99,-99,45,,,
110328,-99,52,-99,-99,-99,-99,-99,-99,91,-99,-99,-99,-99,-99,-99,-99,99,83,-99,-99,35,,,
110406,-99,56,-99,-99,-99,-99,-99,-99,109,-99,-99,-99,-99,-99,-99,-99,106,81,-99,-99,13,,,
